2023-07-30 09:39:01,648ERROR   :存在错误：Handshake status 401 Unauthorized -+-+- {'date': 'Sun, 30 Jul 2023 01:39:02 GMT', 'content-type': 'application/json; charset=utf-8', 'connection': 'keep-alive', 'content-length': '76', 'server': 'kong/1.3.0'} -+-+- b'{"message":"HMAC signature cannot be verified: fail to retrieve credential"}'
2023-07-30 09:39:01,649ERROR   :连接关闭
2023-07-30 09:40:29,980ERROR   :存在错误：Handshake status 401 Unauthorized -+-+- {'date': 'Sun, 30 Jul 2023 01:40:31 GMT', 'content-type': 'application/json; charset=utf-8', 'connection': 'keep-alive', 'content-length': '43', 'server': 'kong/1.3.0'} -+-+- b'{"message":"HMAC signature does not match"}'
2023-07-30 09:40:29,981ERROR   :连接关闭
2023-07-30 09:41:16,217ERROR   :连接关闭
2023-07-30 09:41:30,275ERROR   :错误代码：10005，内容：{'header': {'code': 10005, 'message': 'InvalidParamError:(09:41:31.340) app_id is not same to kong app_id', 'sid': 'cid000cfd93@dx189a475322db8f3540', 'status': 2}}
2023-07-30 09:41:30,477ERROR   :连接关闭
2023-07-30 09:42:36,461ERROR   :连接关闭
2023-07-30 09:43:00,411ERROR   :连接关闭
2023-07-30 09:43:34,168ERROR   :连接关闭
2023-07-30 09:45:22,551ERROR   :连接关闭
2023-07-30 09:45:30,730ERROR   :连接关闭
2023-07-30 09:45:47,046ERROR   :连接关闭
2023-07-30 10:16:33,933ERROR   :连接关闭
2023-07-30 10:23:48,980ERROR   :连接关闭
2023-07-30 10:28:36,779ERROR   :连接关闭
2023-07-30 10:29:07,925ERROR   :连接关闭
2023-07-30 10:30:18,245ERROR   :连接关闭
2023-07-30 10:35:51,598ERROR   :连接关闭
2023-07-30 10:38:41,546ERROR   :连接关闭
2023-07-30 10:40:43,902ERROR   :连接关闭
2023-07-30 10:50:47,991ERROR   :连接关闭
2023-07-30 10:51:19,556ERROR   :连接关闭
2023-07-30 10:53:54,180ERROR   :连接关闭
2023-07-30 11:28:13,518ERROR   :连接关闭
2023-07-30 11:29:34,984ERROR   :连接关闭
2023-07-30 11:30:10,638ERROR   :连接关闭
2023-07-30 11:30:39,791ERROR   :连接关闭
2023-07-30 11:31:00,582ERROR   :连接关闭
2023-07-30 11:31:08,080ERROR   :连接关闭
2023-07-30 11:31:58,796ERROR   :连接关闭
2023-07-30 11:32:39,589ERROR   :连接关闭
2023-07-30 11:32:52,100ERROR   :连接关闭
2023-07-30 11:33:53,390ERROR   :连接关闭
2023-07-30 11:36:06,776ERROR   :连接关闭
2023-07-30 11:39:56,810ERROR   :连接关闭
2023-07-30 21:08:29,458ERROR   :连接关闭
2023-07-30 21:08:54,841ERROR   :连接关闭
2023-07-30 21:09:30,033ERROR   :连接关闭
